,prediction_layer,score
0,MLP_8_1,0.6376306620209059
1,Linear models,0.6631823461091754
2,Random forest models,0.6887340301974448
3,XGB models,0.6573751451800233
4,SK MLP models,0.686411149825784
,prediction_layer,score
0,MLP_8_2,0.6411149825783972
1,Linear models,0.6434378629500581
2,Random forest models,0.7154471544715447
3,XGB models,0.6898954703832753
4,SK MLP models,0.6806039488966318
,prediction_layer,score
0,MLP_8_4,0.662020905923345
1,Linear models,0.6538908246225319
2,Random forest models,0.6794425087108014
3,XGB models,0.6562137049941928
4,SK MLP models,0.6759581881533101
,prediction_layer,score
0,MLP_16_1,0.6782810685249709
1,Linear models,0.6689895470383276
2,Random forest models,0.7084785133565621
3,XGB models,0.6782810685249709
4,SK MLP models,0.6922183507549361
,prediction_layer,score
0,MLP_16_2,0.6504065040650406
1,Linear models,0.6643437862950058
2,Random forest models,0.7154471544715447
3,XGB models,0.6747967479674797
4,SK MLP models,0.6922183507549361
,prediction_layer,score
0,MLP_16_4,0.629500580720093
1,Linear models,0.6573751451800233
2,Random forest models,0.7119628339140535
3,XGB models,0.6991869918699187
4,SK MLP models,0.6759581881533101
,prediction_layer,score
0,MLP_32_1,0.6933797909407665
1,Linear models,0.6643437862950058
2,Random forest models,0.6991869918699187
3,XGB models,0.6968641114982579
4,SK MLP models,0.6771196283391405
,prediction_layer,score
0,MLP_32_2,0.667828106852497
1,Linear models,0.6538908246225319
2,Random forest models,0.7084785133565621
3,XGB models,0.6782810685249709
4,SK MLP models,0.6933797909407665
,prediction_layer,score
0,MLP_32_4,0.6829268292682927
1,Linear models,0.6585365853658537
2,Random forest models,0.7131242740998839
3,XGB models,0.6910569105691057
4,SK MLP models,0.6852497096399536
