,prediction_layer,score
0,MLP_8_1,0.617781851512374
1,Linear models,0.6232813932172319
2,Random forest models,0.608615948670944
3,XGB models,0.6095325389550871
4,SK MLP models,0.6168652612282309
,prediction_layer,score
0,MLP_8_2,0.6168652612282309
1,Linear models,0.6021998166819432
2,Random forest models,0.6168652612282309
3,XGB models,0.5893675527039414
4,SK MLP models,0.6241979835013749
,prediction_layer,score
0,MLP_8_4,0.613198900091659
1,Linear models,0.5994500458295142
2,Random forest models,0.5967002749770852
3,XGB models,0.5921173235563703
4,SK MLP models,0.6241979835013749
,prediction_layer,score
0,MLP_16_1,0.618698441796517
1,Linear models,0.614115490375802
2,Random forest models,0.620531622364803
3,XGB models,0.615948670944088
4,SK MLP models,0.617781851512374
,prediction_layer,score
0,MLP_16_2,0.613198900091659
1,Linear models,0.6122823098075161
2,Random forest models,0.613198900091659
3,XGB models,0.6021998166819432
4,SK MLP models,0.608615948670944
,prediction_layer,score
0,MLP_16_4,0.614115490375802
1,Linear models,0.615948670944088
2,Random forest models,0.6104491292392301
3,XGB models,0.6058661778185152
4,SK MLP models,0.6168652612282309
,prediction_layer,score
0,MLP_32_1,0.613198900091659
1,Linear models,0.6214482126489459
2,Random forest models,0.6104491292392301
3,XGB models,0.5948670944087993
4,SK MLP models,0.6021998166819432
,prediction_layer,score
0,MLP_32_2,0.611365719523373
1,Linear models,0.617781851512374
2,Random forest models,0.6122823098075161
3,XGB models,0.5939505041246563
4,SK MLP models,0.5967002749770852
,prediction_layer,score
0,MLP_32_4,0.6076993583868011
1,Linear models,0.6076993583868011
2,Random forest models,0.615032080659945
3,XGB models,0.6095325389550871
4,SK MLP models,0.620531622364803
