,prediction_layer,score
0,MLP_8_1,18.10683116971429
1,Linear models,18.046633512835815
2,Random forest models,25.790652363114322
3,XGB models,20.166844618055556
4,SK MLP models,18.116147280092594
,prediction_layer,score
0,MLP_8_2,17.89988096163143
1,Linear models,17.91571167798851
2,Random forest models,21.20711662037266
3,XGB models,21.160480324074076
4,SK MLP models,17.982316261574073
,prediction_layer,score
0,MLP_8_4,17.886219785517014
1,Linear models,18.098532442124217
2,Random forest models,19.05010663444065
3,XGB models,19.98759693287037
4,SK MLP models,18.024228877314815
,prediction_layer,score
0,MLP_16_1,17.812952931574376
1,Linear models,18.095616630419265
2,Random forest models,24.27336779419509
3,XGB models,20.40744357638889
4,SK MLP models,18.06917679398148
,prediction_layer,score
0,MLP_16_2,17.975211870188105
1,Linear models,18.16431926290798
2,Random forest models,20.355934029258908
3,XGB models,19.853359375
4,SK MLP models,17.828519965277778
,prediction_layer,score
0,MLP_16_4,17.789281641626214
1,Linear models,18.153107872437687
2,Random forest models,21.26250844732398
3,XGB models,21.5211328125
4,SK MLP models,18.12128472222222
,prediction_layer,score
0,MLP_32_1,18.05440008904561
1,Linear models,17.987103406801236
2,Random forest models,19.854042394653334
3,XGB models,20.254389467592592
4,SK MLP models,18.09111111111111
,prediction_layer,score
0,MLP_32_2,17.867106419373307
1,Linear models,18.01276475398215
2,Random forest models,19.180277060471077
3,XGB models,21.656514756944443
4,SK MLP models,17.943935185185186
,prediction_layer,score
0,MLP_32_4,17.827404462697366
1,Linear models,18.14501854169252
2,Random forest models,18.79421840167735
3,XGB models,20.380808738425927
4,SK MLP models,17.913723958333332
