,prediction_layer,score
0,MLP_8_1,0.6408094435075885
1,Linear models,0.6408094435075885
2,Random forest models,0.6155143338954469
3,XGB models,0.6087689713322091
4,SK MLP models,0.6408094435075885
,prediction_layer,score
0,MLP_8_2,0.6408094435075885
1,Linear models,0.6408094435075885
2,Random forest models,0.551433389544688
3,XGB models,0.6188870151770658
4,SK MLP models,0.6408094435075885
,prediction_layer,score
0,MLP_8_4,0.6408094435075885
1,Linear models,0.6408094435075885
2,Random forest models,0.6391231028667791
3,XGB models,0.5430016863406408
4,SK MLP models,0.6408094435075885
,prediction_layer,score
0,MLP_16_1,0.6408094435075885
1,Linear models,0.6408094435075885
2,Random forest models,0.6357504215851602
3,XGB models,0.5986509274873525
4,SK MLP models,0.6408094435075885
,prediction_layer,score
0,MLP_16_2,0.6408094435075885
1,Linear models,0.6408094435075885
2,Random forest models,0.5649241146711635
3,XGB models,0.5379426644182125
4,SK MLP models,0.6408094435075885
,prediction_layer,score
0,MLP_16_4,0.6408094435075885
1,Linear models,0.6408094435075885
2,Random forest models,0.6408094435075885
3,XGB models,0.5598650927487352
4,SK MLP models,0.6408094435075885
,prediction_layer,score
0,MLP_32_1,0.6408094435075885
1,Linear models,0.6408094435075885
2,Random forest models,0.6053962900505903
3,XGB models,0.6172006745362564
4,SK MLP models,0.6408094435075885
,prediction_layer,score
0,MLP_32_2,0.6408094435075885
1,Linear models,0.6408094435075885
2,Random forest models,0.596964586846543
3,XGB models,0.6188870151770658
4,SK MLP models,0.6408094435075885
,prediction_layer,score
0,MLP_32_4,0.6408094435075885
1,Linear models,0.6408094435075885
2,Random forest models,0.5682967959527825
3,XGB models,0.5750421585160203
4,SK MLP models,0.6408094435075885
