,prediction_layer,score
0,MLP_8_1,16.438930599424577
1,Linear models,15.221989179725451
2,Random forest models,14.737916198108064
3,XGB models,14.806102430555555
4,SK MLP models,15.779998553240741
,prediction_layer,score
0,MLP_8_2,15.982104026373065
1,Linear models,15.262310430675196
2,Random forest models,14.395192518541132
3,XGB models,14.126833043981481
4,SK MLP models,15.582540509259259
,prediction_layer,score
0,MLP_8_4,16.31529818185364
1,Linear models,14.793100243094898
2,Random forest models,14.372113950396692
3,XGB models,14.371527777777779
4,SK MLP models,15.122688078703703
,prediction_layer,score
0,MLP_16_1,16.430175358697223
1,Linear models,15.411181513342871
2,Random forest models,14.039667862996678
3,XGB models,14.350826099537038
4,SK MLP models,15.335967881944445
,prediction_layer,score
0,MLP_16_2,15.957683639544307
1,Linear models,15.002732696410408
2,Random forest models,14.330720597355036
3,XGB models,14.835706018518518
4,SK MLP models,15.409280960648148
,prediction_layer,score
0,MLP_16_4,15.686422710008921
1,Linear models,15.124324469411818
2,Random forest models,14.627370416940733
3,XGB models,15.021032986111111
4,SK MLP models,15.46689380787037
,prediction_layer,score
0,MLP_32_1,16.651091970350183
1,Linear models,15.226829817627594
2,Random forest models,14.00410294033387
3,XGB models,14.150998263888889
4,SK MLP models,15.519502314814815
,prediction_layer,score
0,MLP_32_2,16.086202154921164
1,Linear models,15.014803142713179
2,Random forest models,14.2034209867781
3,XGB models,14.678574942129629
4,SK MLP models,15.30320457175926
,prediction_layer,score
0,MLP_32_4,16.20079141904083
1,Linear models,15.035186016606515
2,Random forest models,14.012394262382594
3,XGB models,14.333139467592593
4,SK MLP models,15.300904224537037
