,prediction_layer,score
0,MLP_8_1,15.757663430327346
1,Linear models,14.491564701344407
2,Random forest models,12.805017996650585
3,XGB models,12.579778645833333
4,SK MLP models,13.82476851851852
,prediction_layer,score
0,MLP_8_2,16.353836394355255
1,Linear models,15.22457197574002
2,Random forest models,13.080778620327301
3,XGB models,12.74212818287037
4,SK MLP models,14.299662905092593
,prediction_layer,score
0,MLP_8_4,15.708270403023949
1,Linear models,14.651415192624212
2,Random forest models,13.013518148153604
3,XGB models,12.676655092592593
4,SK MLP models,13.987747395833333
,prediction_layer,score
0,MLP_16_1,16.31106367600185
1,Linear models,14.637319255053171
2,Random forest models,13.15845710156779
3,XGB models,12.162906539351852
4,SK MLP models,14.720532407407408
,prediction_layer,score
0,MLP_16_2,15.749950399986574
1,Linear models,15.038689796597597
2,Random forest models,13.009103124645957
3,XGB models,12.551614583333333
4,SK MLP models,14.504221643518518
,prediction_layer,score
0,MLP_16_4,15.208130643874133
1,Linear models,15.167602297807184
2,Random forest models,12.740369845125747
3,XGB models,13.028369502314815
4,SK MLP models,14.78296875
,prediction_layer,score
0,MLP_32_1,17.166161098640277
1,Linear models,14.843811607607815
2,Random forest models,13.035188018653164
3,XGB models,12.24429542824074
4,SK MLP models,14.367974537037037
,prediction_layer,score
0,MLP_32_2,15.253279063124902
1,Linear models,15.369400494371854
2,Random forest models,12.599174807848096
3,XGB models,11.990461516203704
4,SK MLP models,13.616488715277777
,prediction_layer,score
0,MLP_32_4,15.224469270031488
1,Linear models,15.186217286553651
2,Random forest models,12.885761192798352
3,XGB models,12.522534722222222
4,SK MLP models,13.81876880787037
