,prediction_layer,score
0,MLP_8_1,0.3948896631823461
1,Linear models,0.4099883855981417
2,Random forest models,0.5098722415795587
3,XGB models,0.5168408826945412
4,SK MLP models,0.4448315911730546
,prediction_layer,score
0,MLP_8_2,0.38443670150987225
1,Linear models,0.42392566782810687
2,Random forest models,0.5203252032520326
3,XGB models,0.48664343786295006
4,SK MLP models,0.454123112659698
,prediction_layer,score
0,MLP_8_4,0.39372822299651566
1,Linear models,0.3995354239256678
2,Random forest models,0.537746806039489
3,XGB models,0.5145180023228804
4,SK MLP models,0.4564459930313589
,prediction_layer,score
0,MLP_16_1,0.389082462253194
1,Linear models,0.389082462253194
2,Random forest models,0.5342624854819977
3,XGB models,0.5133565621370499
4,SK MLP models,0.4425087108013937
,prediction_layer,score
0,MLP_16_2,0.39372822299651566
1,Linear models,0.3821138211382114
2,Random forest models,0.5435540069686411
3,XGB models,0.5145180023228804
4,SK MLP models,0.45760743321718933
,prediction_layer,score
0,MLP_16_4,0.40418118466898956
1,Linear models,0.3879210220673635
2,Random forest models,0.5168408826945412
3,XGB models,0.5272938443670151
4,SK MLP models,0.43902439024390244
,prediction_layer,score
0,MLP_32_1,0.3879210220673635
1,Linear models,0.3995354239256678
2,Random forest models,0.5319396051103368
3,XGB models,0.5331010452961672
4,SK MLP models,0.45063879210220675
,prediction_layer,score
0,MLP_32_2,0.3983739837398374
1,Linear models,0.3902439024390244
2,Random forest models,0.5389082462253194
3,XGB models,0.5423925667828107
4,SK MLP models,0.462253193960511
,prediction_layer,score
0,MLP_32_4,0.4076655052264808
1,Linear models,0.37746806039488967
2,Random forest models,0.5040650406504065
3,XGB models,0.5040650406504065
4,SK MLP models,0.4250871080139373
