,prediction_layer,score
0,MLP_8_1,0.6910919540229885
1,Linear models,0.6824712643678161
2,Random forest models,0.7600574712643678
3,XGB models,0.7543103448275862
4,SK MLP models,0.6939655172413793
,prediction_layer,score
0,MLP_8_2,0.6810344827586207
1,Linear models,0.6882183908045977
2,Random forest models,0.7686781609195402
3,XGB models,0.7701149425287356
4,SK MLP models,0.7025862068965517
,prediction_layer,score
0,MLP_8_4,0.6781609195402298
1,Linear models,0.6681034482758621
2,Random forest models,0.7270114942528736
3,XGB models,0.757183908045977
4,SK MLP models,0.6795977011494253
,prediction_layer,score
0,MLP_16_1,0.6795977011494253
1,Linear models,0.6824712643678161
2,Random forest models,0.7629310344827587
3,XGB models,0.75
4,SK MLP models,0.6853448275862069
,prediction_layer,score
0,MLP_16_2,0.6867816091954023
1,Linear models,0.6839080459770115
2,Random forest models,0.7456896551724138
3,XGB models,0.7442528735632183
4,SK MLP models,0.6853448275862069
,prediction_layer,score
0,MLP_16_4,0.6882183908045977
1,Linear models,0.6910919540229885
2,Random forest models,0.7385057471264368
3,XGB models,0.7270114942528736
4,SK MLP models,0.6954022988505747
,prediction_layer,score
0,MLP_32_1,0.6853448275862069
1,Linear models,0.6939655172413793
2,Random forest models,0.7658045977011494
3,XGB models,0.7543103448275862
4,SK MLP models,0.7025862068965517
,prediction_layer,score
0,MLP_32_2,0.6695402298850575
1,Linear models,0.6752873563218391
2,Random forest models,0.7528735632183908
3,XGB models,0.7614942528735632
4,SK MLP models,0.6997126436781609
,prediction_layer,score
0,MLP_32_4,0.6781609195402298
1,Linear models,0.6839080459770115
2,Random forest models,0.7600574712643678
3,XGB models,0.7471264367816092
4,SK MLP models,0.6910919540229885
