,prediction_layer,score
0,MLP_8_1,0.5866177818515124
1,Linear models,0.5948670944087993
2,Random forest models,0.536205316223648
3,XGB models,0.538955087076077
4,SK MLP models,0.5884509624197983
,prediction_layer,score
0,MLP_8_2,0.5912007332722273
1,Linear models,0.5957836846929423
2,Random forest models,0.538955087076077
3,XGB models,0.5563703024747938
4,SK MLP models,0.6076993583868011
,prediction_layer,score
0,MLP_8_4,0.5884509624197983
1,Linear models,0.5957836846929423
2,Random forest models,0.5435380384967919
3,XGB models,0.538038496791934
4,SK MLP models,0.5930339138405133
,prediction_layer,score
0,MLP_16_1,0.5902841429880843
1,Linear models,0.5948670944087993
2,Random forest models,0.5444546287809349
3,XGB models,0.541704857928506
4,SK MLP models,0.5838680109990834
,prediction_layer,score
0,MLP_16_2,0.5994500458295142
1,Linear models,0.5967002749770852
2,Random forest models,0.536205316223648
3,XGB models,0.532538955087076
4,SK MLP models,0.5976168652612283
,prediction_layer,score
0,MLP_16_4,0.5902841429880843
1,Linear models,0.5939505041246563
2,Random forest models,0.5462878093492209
3,XGB models,0.537121906507791
4,SK MLP models,0.5902841429880843
,prediction_layer,score
0,MLP_32_1,0.5884509624197983
1,Linear models,0.5921173235563703
2,Random forest models,0.5472043996333639
3,XGB models,0.5481209899175069
4,SK MLP models,0.5948670944087993
,prediction_layer,score
0,MLP_32_2,0.5912007332722273
1,Linear models,0.5957836846929423
2,Random forest models,0.5572868927589367
3,XGB models,0.5637030247479377
4,SK MLP models,0.5985334555453712
,prediction_layer,score
0,MLP_32_4,0.5939505041246563
1,Linear models,0.5930339138405133
2,Random forest models,0.5600366636113657
3,XGB models,0.5490375802016498
4,SK MLP models,0.6031164069660861
